Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
731.9000000000001,697.8000000000001,123.66600000000004,100,100
729.6,695.2,126.43800000000003,100,100
726.0,691.8000000000001,129.08399999999997,100,100
723.7,689.2,131.954,100,100
720.2,684.6,135.10200000000003,100,100
717.3000000000001,681.5,137.91600000000005,100,100
714.6,677.8000000000001,141.14,100,100
711.5,674.5,144.06000000000003,100,100
708.2,670.8000000000001,147.152,100,100
705.3000000000001,667.5,150.25600000000006,100,100
701.4000000000001,663.2,153.39200000000002,100,100
698.7,660.1,156.56000000000003,100,100
696.0000000000001,657.6,159.53200000000007,100,100
692.3,653.9,162.62400000000005,100,100
689.5,651.4000000000001,165.58200000000002,100,100
687.1000000000001,648.3000000000001,168.9260000000001,100,100
684.2,645.3000000000001,171.99800000000005,100,100
680.5,641.1,175.29000000000008,100,100
678.0000000000001,638.2,178.54400000000012,100,100
673.7,634.1,181.61200000000008,100,100
671.4000000000001,630.9,185.1420000000001,100,100
668.6,628.4000000000001,188.17800000000003,100,100
666.4,625.0,191.88000000000008,100,100
663.7,622.4000000000001,195.03400000000008,100,100
660.5,618.7,198.5380000000001,100,100
656.6000000000001,614.4000000000001,201.98400000000012,100,100
653.9000000000001,611.3,205.47200000000018,100,100
650.3,607.9,208.7640000000001,100,100
647.5,604.5,212.40400000000014,100,100
644.2,601.4,215.70800000000017,100,100
598.7,551.7,220.74800000000013,100,100
611.1,564.9000000000001,223.7840000000001,100,100
606.8000000000001,560.8000000000001,227.48400000000012,100,100
604.4000000000001,557.8,231.41200000000015,100,100
601.0,554.3,235.1180000000001,100,100
598.1,550.6,239.14800000000008,100,100
595.7,548.5000000000001,242.75400000000008,100,100
592.2,544.6999999999999,246.67400000000015,100,100
588.6999999999999,541.0000000000001,250.52,100,100
585.6,537.4000000000001,254.50600000000006,100,100
581.8000000000001,533.5,258.3500000000001,100,100
401.2,335.90000000000003,268.66400000000004,100,100
457.5,397.0,270.3640000000001,100,100
454.80000000000007,393.70000000000005,275.9120000000001,100,100
450.8,389.1,280.9680000000001,100,100
447.8,385.8,285.9580000000001,100,100
444.90000000000003,382.8,290.92600000000004,100,100
441.90000000000003,379.6,295.96000000000004,100,100
439.5,376.70000000000005,301.1140000000001,100,100
435.70000000000005,373.1,306.0120000000001,100,100
433.5,370.3,311.2680000000001,100,100
429.40000000000003,366.70000000000005,316.07400000000007,100,100
242.8,159.0,329.1580000000001,0,100
301.1,223.70000000000002,331.3200000000001,0,100
297.2,219.70000000000002,338.19000000000005,0,100
293.6,216.8,344.1140000000001,0,100
290.0,213.3,350.2900000000001,0,100
286.1,210.20000000000002,356.13200000000006,0,100
281.40000000000003,209.1,360.91600000000005,0,100
275.5,209.40000000000003,364.70400000000006,0,100
269.8,209.60000000000002,368.3700000000001,0,100
263.90000000000003,209.60000000000002,371.5340000000001,0,100
-164.9,209.60000000000002,213.52400000000011,0,100
-28.800000000000004,209.60000000000002,278.1620000000001,0,100
-34.9,209.60000000000002,243.1620000000001,0,100
-39.800000000000004,209.60000000000002,222.35000000000008,0,100
-45.300000000000004,209.60000000000002,200.79800000000003,0,100
-51.300000000000004,209.60000000000002,178.67600000000007,0,100
-57.1,209.60000000000002,156.20000000000007,0,100
-63.2,209.60000000000002,133.12600000000006,0,100
-68.30000000000001,209.60000000000002,109.97400000000003,0,100
-73.10000000000001,209.60000000000002,86.42800000000004,0,100
-79.30000000000001,209.60000000000002,61.936000000000035,0,100
