Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
1250,1429,7.161000000000001,6.584,0.05674700000000021,27.104253,26.640747
1258,1442,7.246,6.664999999999999,0.027332000000000137,27.218668,26.692332
1277,1461,7.736000000000001,7.252,0.017618999999999874,27.718381,27.269619
1293,1476,6.817,6.734000000000001,-0.013099000000000333,26.830099,26.720901
1303,1492,7.404000000000001,6.816999999999999,0.07849200000000014,27.325508,26.895492
1324,1511,7.289999999999999,7.103,-0.012121000000000218,27.302121,27.090879
1335,1524,7.074,6.7860000000000005,0.0383679999999999,27.035632,26.824368
1351,1541,6.957,6.567,0.03896000000000039,26.91804,26.60596
1366,1557,7.344,7.154000000000001,0.00875000000000007,27.335250000000002,27.16275
1379,1571,7.129,6.838000000000001,0.03924199999999954,27.089758,26.877242
1394,1588,7.417000000000001,7.125000000000001,0.029535000000000478,27.387465000000002,27.154535
1416,1609,6.799,6.404999999999999,0.040130999999999674,26.758869,26.445131
1430,1625,6.68,6.587000000000001,-0.00037699999999984274,26.680377,26.586623
1446,1642,7.0649999999999995,6.670000000000001,0.06061999999999959,27.004379999999998,26.730620000000002
1461,1658,6.949,6.653,0.020717000000000325,26.928282999999997,26.673717
1474,1674,7.034000000000001,6.636,0.04131700000000002,26.992683,26.677317
1489,1689,7.119999999999999,6.720000000000001,0.03171899999999988,27.088281,26.751718999999998
1505,1709,7.106,6.906000000000001,0.011519000000000425,27.094481000000002,26.917519
1519,1723,7.0920000000000005,6.286,0.09353099999999945,26.998469,26.379531
1530,1737,6.977,6.973,-0.04806699999999961,27.025067,26.924933
1544,1753,7.164000000000001,6.556,0.09374499999999991,27.070255000000003,26.649745
1557,1769,7.353,7.044,0.003455000000000045,27.349545000000003,27.047455
1573,1789,7.039,6.324999999999999,0.07497400000000011,26.964026,26.399974
1585,1804,6.823,6.104000000000001,0.0356979999999999,26.787302,26.139698
1603,1825,7.009,6.588000000000001,0.005520999999999807,27.003479000000002,26.593521
1622,1842,6.793000000000001,6.470999999999999,0.025643999999999972,26.767356,26.496644
1636,1859,6.171,6.050000000000001,0.015363999999999937,26.155635999999998,26.065364000000002
1651,1877,6.956999999999999,6.534000000000001,0.06638900000000031,26.890611,26.600389
1661,1890,7.044,6.417000000000001,0.057419999999999694,26.98658,26.474420000000002
1678,1908,7.132000000000001,6.602,0.027753000000000215,27.104247,26.629753
1693,1927,6.817,6.486000000000001,0.017684999999999822,26.799315,26.503685
1811,2050,6.802,6.369000000000001,0.04832000000000003,26.75368,26.41732
1821,2062,-3.3130000000000006,-4.152000000000001,0.07996499999999987,16.607034999999996,15.927964999999999
1837,2074,6.773,6.534,-0.0209959999999998,26.793996,26.513004
1850,2086,6.456,6.621,-0.001965000000000376,26.457965,26.619035
1866,2102,6.741999999999999,6.507,0.0790700000000002,26.662929999999996,26.58607
1884,2119,6.627000000000001,6.291,0.04960700000000025,26.577393,26.340607000000002
1900,2136,6.612,6.376,0.029642999999999843,26.582357000000002,26.405643
1914,2150,6.3950000000000005,6.26,0.029577000000000082,26.365423,26.289576999999998
1929,2166,6.680999999999999,6.345,0.06031399999999969,26.620686,26.405313999999997
1943,2180,6.465,6.128,0.040652000000000105,26.424348,26.168652
1958,2195,6.550000000000001,6.212,0.04099100000000011,26.509009,26.252991
3072,3305,6.635999999999999,6.4990000000000006,0.020726999999999572,26.615273,26.519727000000003
3081,3318,-103.973,-103.806,0.009956000000000131,0,0
3089,3329,5.816000000000001,4.977,0.14280100000000037,25.673199000000004,25.119801
3101,3343,5.805,5.566000000000001,-0.018160000000000523,25.82316,25.54784
3114,3356,5.8950000000000005,5.353000000000001,0.07298500000000005,25.822015,25.425985
3129,3371,5.38,5.138,0.01262700000000026,25.367372999999997,25.150627
3141,3384,5.668,5.426,0.04286899999999962,25.625131,25.468869
3155,3399,5.252000000000001,4.909,0.053413000000000606,25.198587000000003,24.962412999999998
3169,3413,5.438,5.194999999999999,0.033455999999999486,25.404543999999998,25.228456
3185,3428,5.626,5.282,0.05400100000000026,25.571999,25.336001
3194,3439,5.412,5.168,0.03404499999999984,25.377955,25.202045
3815,4059,5.8020000000000005,5.255,0.07519500000000007,25.726805,25.330195
3822,4067,-55.818,-55.964000000000006,0.004540000000000724,0,0
3835,4081,5.3740000000000006,5.128,0.05498599999999943,25.319014000000003,25.182986
3845,4088,4.76,4.716,0.024627999999999456,24.735371999999998,24.740628
3857,4099,5.352,5.3100000000000005,0.04466800000000011,25.307332,25.354668000000004
3871,4114,4.536,4.2940000000000005,0.06531000000000028,24.47069,24.35931
3882,4127,5.025,4.682,0.05585399999999954,24.969146,24.737854000000002
3897,4142,4.61,4.367,0.03589700000000021,24.574103,24.402897
3909,4156,4.9990000000000006,4.452999999999999,0.07704600000000045,24.921954000000003,24.530046
3923,4172,4.887,4.439,0.037295999999999746,24.849704,24.476296
3931,4182,4.774,4.324,0.047748000000000256,24.726252000000002,24.371747999999997
4970,5216,4.862,4.511,0.037899999999999996,24.8241,24.5489
4979,5225,-98.27100000000002,-98.11800000000001,-0.0032570000000008495,0,0
4993,5237,3.9179999999999997,3.7720000000000002,0.07748800000000067,23.840511999999997,23.849488
5001,5243,3.503,3.4590000000000005,0.037329999999999974,23.46567,23.49633
5016,5257,4.397,4.2540000000000004,0.05767199999999967,24.339328,24.311672
5032,5272,2.9770000000000003,3.037,0.027209000000000417,22.949791,23.064208999999998
5045,5282,3.26,3.3229999999999995,0.04714299999999963,23.212857,23.370143
5052,5291,4.152,3.8140000000000005,0.08828200000000033,24.063718,23.902282
5063,5305,4.245,3.603,0.07952799999999985,24.165472,23.682528
5079,5320,3.5309999999999997,3.3900000000000006,-0.0013320000000001248,23.532332,23.388668
5091,5332,3.5169999999999995,3.276,0.05910900000000014,23.457891,23.335109
5755,5990,3.604,3.4639999999999995,0.039048000000000097,23.564951999999998,23.503048
5768,6004,-62.160000000000004,-61.895,0.007977999999999881,0,0
5781,6016,3.129,2.692,0.11981700000000019,23.009183,22.811817
5791,6027,2.9160000000000004,2.6790000000000003,0.02965399999999972,22.886346,22.708654000000003
5800,6038,3.105,2.969,0.03958900000000009,23.065411,23.008589
5817,6055,3.1950000000000003,2.6559999999999997,0.09093100000000023,23.104069,22.746931
5830,6070,2.4779999999999998,2.34,0.01026800000000002,22.467732,22.350268
5847,6088,2.6630000000000003,2.4250000000000003,0.060705999999999795,22.602294,22.485706
5862,6102,2.547,2.0060000000000002,0.08185000000000009,22.46515,22.08785
5879,6119,2.7329999999999997,2.593,0.011189000000000018,22.721811,22.604189
5893,6133,2.7189999999999994,2.378,0.07193100000000005,22.647069000000002,22.449931
6927,7159,2.301,2.161,0.03166999999999995,22.269330000000004,22.19267
6940,7172,-100.03,-99.46200000000002,-0.020305999999998388,0,0
6951,7182,1.3529999999999998,1.222,0.12122399999999842,21.231776000000004,21.343224
6962,7194,2.245,2.1149999999999998,0.05135300000000026,22.193647000000002,22.166352999999997
6977,7207,1.631,1.3000000000000003,0.07208499999999972,21.558915,21.372085000000002
6989,7220,1.516,1.4869999999999999,0.02151200000000006,21.494487999999997,21.508512
7003,7233,1.8039999999999998,1.5749999999999997,0.07214099999999996,21.731859,21.647140999999998
7014,7244,1.7919999999999998,1.361,0.0729740000000002,21.719026000000003,21.433974
7037,7265,1.578,1.4480000000000002,0.022502999999999815,21.555497,21.470503
7047,7276,1.16,1.0309999999999997,0.052631000000000254,21.107369,21.083631
7062,7291,1.546,1.317,0.06305999999999981,21.48294,21.38006
8078,8304,1.6330000000000002,1.3029999999999997,0.06359099999999993,21.569409,21.366591
8091,8320,-99.582,-99.509,0.012715000000000864,0,0
8100,8329,0.605,0.17599999999999993,0.10414599999999956,20.500854,20.280146
8111,8341,0.794,0.46399999999999997,0.04427700000000001,20.749723,20.508277
8124,8355,0.7829999999999999,0.6540000000000001,0.03400499999999998,20.748995,20.688005
8138,8368,0.5700000000000001,0.34099999999999997,0.06443399999999982,20.505566,20.405434
8152,8383,0.6579999999999999,0.22699999999999987,0.0752670000000002,20.582733,20.302267
