Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
1464,1431,1.6573371084405153e-09,15.000000901501794,15.000000883798393
1472,1442,1.4286111120753733e-09,15.00000090729413,15.000000890369634
1483,1451,1.5089742237961444e-09,15.000000912159196,15.000000896013605
1493,1463,1.5899556924381386e-09,15.000000918260003,15.000000902276373
1503,1473,1.4199565523398407e-09,15.00000092399361,15.000000909524518
1515,1485,1.811881844560048e-09,15.000000931638008,15.000000916098232
1524,1495,1.6455919578106659e-09,15.000000938604265,15.000000922731907
1535,1508,1.475592460664643e-09,15.000000943719693,15.000000929361875
1542,1514,1.678355250334107e-09,15.000000950316897,15.000000936364604
1554,1524,1.8217728285918613e-09,15.000000954500731,15.000000939598914
1565,1533,1.71668233406308e-09,15.000000962642146,15.000000947530147
1576,1545,1.9243903768284554e-09,15.000000968616225,15.000000952065106
1583,1554,1.633228274400267e-09,15.000000975089174,15.00000095919209
1591,1563,1.586864634361973e-09,15.000000979462788,15.000000965327512
1601,1574,1.7896276052198346e-09,15.000000984823634,15.000000971093884
1611,1582,1.7438821462434362e-09,15.000000990432989,15.000000977229925
1620,1592,1.8854450072325335e-09,15.00000099770957,15.000000984171455
1681,1650,1.903990547447165e-09,15.000001002018276,15.000000987899073
1685,1655,1.9862081952481958e-09,15.000001039026781,15.000001023835658
1691,1662,1.8186819499277362e-09,15.000001041667023,15.000001026759024
1703,1673,1.8990450634248647e-09,15.000001046532091,15.000001031784818
1712,1682,1.9175902448154146e-09,15.000001053313511,15.00000103860333
1719,1690,1.93613578325369e-09,15.000001058858572,15.000001044185485
1729,1698,2.0177354311812224e-09,15.000001063722404,15.000001048594335
1742,1709,2.0381353298404292e-09,15.000001069265613,15.000001053560164
1750,1718,1.996099120660233e-09,15.000001076725793,15.000001060936272
1759,1728,2.0158808400339015e-09,15.000001082887799,15.000001067137841
1770,1738,1.9095541663460836e-09,15.000001088557736,15.00000107383148
1782,1749,2.17784378264696e-09,15.000001094471234,15.0000010790452
1791,1760,2.0739894655008585e-09,15.000001101993233,15.000001086359491
1799,1769,2.030717075385269e-09,15.000001107600113,15.000001092498007
1805,1775,2.1116987252156605e-09,15.000001111846382,15.000001096906239
1813,1783,2.0678078023195214e-09,15.000001116217526,15.000001101807777
2395,2342,2.211225199388878e-09,15.000001121019537,15.000001106278447
2399,2347,3.4927099310522183e-09,15.000001479518076,15.000001454358202
2408,2355,2.2897338975980124e-09,15.000001483811944,15.000001455627942
2416,2364,2.197625512678769e-09,15.000001488849485,15.00000146109944
2426,2375,2.2285342708983084e-09,15.000001494382184,15.000001467312137
2435,2384,2.3218793145929343e-09,15.000001500470626,15.00000147358727
2446,2395,2.3534064297336955e-09,15.000001506620887,15.000001479800584
2452,2402,2.384933544874457e-09,15.000001512152968,15.00000148539572
2465,2415,2.3534063728902764e-09,15.000001515893567,15.000001489691444
2474,2426,2.4461334184877617e-09,15.000001524455342,15.000001498438673
2483,2435,2.4770419972952594e-09,15.000001529988042,15.000001504033191
2497,2448,2.3187886117881364e-09,15.000001535091727,15.000001510674903
2507,2458,2.6594048367911685e-09,15.000001542787434,15.000001517815486
2516,2468,2.6291142027901058e-09,15.000001550235869,15.00000152458516
2525,2477,2.4720966376179375e-09,15.000001555956494,15.00000153122811
2534,2488,2.5623507866612273e-09,15.00000156142985,15.00000153750015
3071,3035,2.5271147219285694e-09,15.000001566410516,15.000001543646702
3078,3042,2.1741346909465165e-09,15.000001898725477,15.000001880201133
3087,3050,2.754604306431929e-09,15.000001903090437,15.000001885108853
3095,3058,2.716277528236333e-09,15.000001908074195,15.000001890015955
3109,3069,2.739767962722794e-09,15.000001913614312,15.000001895603056
3116,3077,2.7632589318926647e-09,15.000001920390787,15.000001902426511
3123,3085,2.786749723426851e-09,15.000001925312725,15.000001907395434
3131,3095,2.8102406961494356e-09,15.000001929616486,15.000001911746175
3138,3103,2.5815141633245274e-09,15.000001934790642,15.000001918935594
3147,3112,2.9128582408333156e-09,15.00000193940473,15.000001923594189
3158,3124,2.8726765677333786e-09,15.000001945626698,15.000001929735795
3167,3134,2.8312585360623644e-09,15.00000195246808,15.000001937112522
3177,3142,2.7879861477231316e-09,15.000001956838604,15.000001942632858
3183,3148,3.1836205138802143e-09,15.000001963242937,15.000001947355743
3192,3158,2.832494837790023e-09,15.000001966684955,15.00000195133187
3202,3169,2.9140946651295963e-09,15.000001972785144,15.000001958213433
4210,4226,2.9963123147069837e-09,15.000001979502892,15.000001965095619
4216,4231,-7.294513792999179e-11,15.000002604459956,15.000002614204927
4229,4242,3.0723482300487605e-09,15.000002605641916,15.000002620441114
4236,4252,2.940058047684602e-09,15.00000261257417,15.00000262710879
4249,4265,2.8052951517310023e-09,15.000002617036184,15.000002632537635
4256,4273,2.855985865579669e-09,15.000002626258176,15.000002642479185
4267,4286,2.8442402921768916e-09,15.00000263183353,15.000002648649227
4278,4297,2.768822429999318e-09,15.000002638090736,15.000002655991954
4286,4306,3.0062032863042987e-09,15.000002644035142,15.000002661174765
4295,4316,2.8083859255900734e-09,15.000002649178388,15.000002666540556
4304,4325,2.732349884126961e-09,15.000002655436212,15.000002673882666
4310,4331,2.8430039868965197e-09,15.00000265903463,15.000002677702392
4317,4342,2.766968126621805e-09,15.000002663437916,15.000002682571786
4328,4355,2.6260230843178076e-09,15.00000266914247,15.000002689848987
4339,4367,2.796022581463831e-09,15.000002675772437,15.000002696818951
4348,4376,2.528350968589166e-09,15.000002682221897,15.000002705205782
4989,5025,2.7576953218755306e-09,15.000002688792518,15.00000271223509
4994,5030,2.3614425970208686e-09,15.000003084204982,15.000003110564124
5002,5037,2.647659808729941e-09,15.000003087627839,15.000003115177591
5014,5048,2.813331160922417e-09,15.000003091789416,15.000003118434158
5024,5057,2.6686777623297077e-09,15.000003099352217,15.000003125707648
5033,5067,2.647659508525635e-09,15.000003105555022,15.000003131868418
5041,5075,2.6896955382937906e-09,15.000003112312951,15.000003138092241
